Date,Year,Time,DOY,Year_DOY,NEE,Re,GPP,NDVI,Temp,PAR,PAR_vis,LAI,Re_mod1,Re_mod2,Re_mod3,Resid1,Resid2,Resid3,,Re params,ER1,ER2,ER3
2010.478142,2010,541,176,2010_176,-1.968844623,1.073569102,3.042413725,0.618575646,13.25,56.54465207,56.54465207,0.384733577,0.909173797,1.290021932,1.280773778,0.027025816,0.046851828,0.042933778,,,,,
2010.480874,2010,542,177,2010_177,-2.212138272,1.132054866,3.344193138,0.687464576,9.13,38.71517598,38.71517598,0.671192868,1.478791135,1.413522799,1.378537887,0.12022604,0.079224197,0.06075388,,,,,
2010.483607,2010,543,178,2010_178,-1.546503949,1.039724085,2.586228034,0.630872329,10.04,44.74014809,44.74014809,0.424914249,0.950782974,1.277671638,1.234819699,0.007910521,0.056619038,0.038062299,,,,,
2010.486339,2010,544,179,2010_179,-1.568843294,1.096582785,2.665426079,0.609319434,18.83,59.97071992,59.97071992,0.357014583,0.927646663,1.343591699,1.396635793,0.028539413,0.061013404,0.090031807,,,,,
2010.489071,2010,545,180,2010_180,-1.804374357,1.339423962,3.143798319,0.619474746,20.03,53.56261077,53.56261077,0.387538146,1.027716698,1.391672548,1.452539225,0.097161418,0.002729915,0.012795063,,,,,
2010.491803,2010,546,181,2010_181,-2.182695654,1.161567911,3.344263564,0.698370925,12.68,22.63292644,22.63292644,0.733011425,1.715489088,1.526208445,1.515195498,0.306828671,0.132962719,0.12505247,,,,,
2010.494536,2010,547,182,2010_182,-2.280750206,1.254886717,3.535636923,0.624244922,18.21,44.95996444,44.95996444,0.402763362,1.035542006,1.375511827,1.416866681,0.048112102,0.014550417,0.026237509,,,,,
2010.5,2010,549,184,2010_184,-2.043388208,1.777831433,3.821219641,0.745759065,9.33,13.07633102,13.07633102,1.074893536,2.376304065,1.659422196,1.653654874,0.358169491,0.014020748,0.015419818,,,,,
2010.502732,2010,550,185,2010_185,-0.201025011,1.836938968,2.037963979,0.651546915,17.71,53.60603783,53.60603783,0.502152013,1.280148453,1.454567456,1.481464758,0.310015678,0.146207973,0.126361914,,,,,
2010.505464,2010,551,186,2010_186,-0.854359968,1.960697429,2.815057398,0.691687395,11.92,8.867558575,8.867558575,0.69448442,1.604452697,1.482919925,1.467208643,0.126910309,0.228271343,0.243531182,,,,,
2010.508197,2010,552,187,2010_187,-0.541487271,1.662475401,2.203962672,0.592726448,9.57,22.93002917,22.93002917,0.312227944,0.693075893,1.203769257,1.148513984,0.939735406,0.210411326,0.264156339,,,,,
2010.510929,2010,553,188,2010_188,-1.600959258,1.714224584,3.315183843,0.699150628,11.95,14.18219931,14.18219931,0.737642997,1.705030657,1.512714959,1.498306767,8.45E-05,0.040606129,0.046620504,,,,,
2010.513661,2010,554,189,2010_189,-1.080950662,1.859558337,2.940508999,0.667651923,23.35,47.03169453,47.03169453,0.571922776,1.604779788,1.661409872,1.703164478,0.064912109,0.039262814,0.024459039,,,,,
2010.516393,2010,555,190,2010_190,-2.087204523,1.958832551,4.046037073,0.64089491,25.85,50.27407303,50.27407303,0.46074871,1.348979527,1.598027621,1.68235641,0.371920711,0.130180197,0.076439057,,,,,
2010.519126,2010,556,191,2010_191,-1.427486606,1.954801397,3.382288003,0.679328185,17.12,46.48725812,46.48725812,0.628495157,1.586243127,1.550821158,1.563018616,0.135835199,0.163200034,0.153493748,,,,,
2010.521858,2010,557,192,2010_192,-1.915256693,1.962974506,3.878231199,0.677702072,16.78,29.30673923,29.30673923,0.620293091,1.556516646,1.535740901,1.547018401,0.165207992,0.182528553,0.173019481,,,,,
2010.52459,2010,558,193,2010_193,-2.45409457,1.962974506,4.417069076,0.678336847,9.68,27.16694295,27.16694295,0.623482063,1.386581393,1.394486763,1.360384384,0.332229021,0.323178314,0.363114855,,,,,
